timestamp,rr,sr,cnt,mrt,tc
1615112220,100.1,97.84,17,69.81,ServiceTest1
1615112280,99.67,97.22,19,66.19,ServiceTest1
1615112340,101.85,97.16,19,54.53,ServiceTest1
1615112400,100.27,97.15,15,56.23,ServiceTest1
1615112460,99.21,98.08,17,68.19,ServiceTest1
1615112520,98.98,97.65,17,57.2,ServiceTest1
1615112580,99.51,97.14,15,66.75,ServiceTest1
1615112640,99.11,98.28,18,60.49,ServiceTest1
1615112700,98.96,98.18,18,56.8,ServiceTest1
1615112760,99.71,98.41,19,69.79,ServiceTest1
1615112820,98.53,97.04,18,69.4,ServiceTest1
1615112880,101.83,98.07,18,51.33,ServiceTest1
1615112940,101.56,97.71,19,59.43,ServiceTest1
1615113000,100.38,97.1,20,53.29,ServiceTest1
1615113060,101.87,98.78,17,52.09,ServiceTest1
1615113120,98.14,98.03,18,51.96,ServiceTest1
1615113180,100.44,98.25,20,50.21,ServiceTest1
1615113240,100.19,97.71,20,61.62,ServiceTest1
1615113300,100.04,98.07,16,65.3,ServiceTest1
1615113360,99.03,97.06,18,61.46,ServiceTest1
1615113420,100.0,97.07,17,66.71,ServiceTest1
1615113480,100.47,98.75,15,61.52,ServiceTest1
1615113540,100.65,98.42,17,55.51,ServiceTest1
1615113600,98.73,98.39,15,56.2,ServiceTest1
1615113660,100.17,98.51,20,55.09,ServiceTest1
1615113720,100.06,97.21,17,51.49,ServiceTest1
1615113780,100.59,98.31,15,51.52,ServiceTest1
1615113840,98.71,97.68,16,67.18,ServiceTest1
1615113900,100.03,98.6,17,51.18,ServiceTest1
1615113960,100.71,97.73,20,56.0,ServiceTest1
1615114020,98.94,97.49,16,52.89,ServiceTest1
1615114080,98.84,97.26,19,60.19,ServiceTest1
1615114140,100.31,97.55,19,54.18,ServiceTest1
1615114200,100.23,97.84,18,50.87,ServiceTest1
1615114260,100.64,98.04,15,69.16,ServiceTest1
1615114320,101.05,98.2,16,68.16,ServiceTest1
1615114380,98.54,98.51,19,58.21,ServiceTest1
1615114440,101.23,97.96,20,53.73,ServiceTest1
1615114500,98.82,97.31,20,60.34,ServiceTest1
1615114560,100.81,98.62,15,58.34,ServiceTest1
1615114620,101.82,97.4,15,65.24,ServiceTest1
1615114680,100.46,97.65,19,61.46,ServiceTest1
1615114740,98.29,98.02,16,61.79,ServiceTest1
1615114800,101.54,97.61,19,67.2,ServiceTest1
1615114860,100.79,98.38,18,61.46,ServiceTest1
1615114920,98.02,97.53,15,66.48,ServiceTest1
1615114980,98.18,97.9,15,67.78,ServiceTest1
1615115040,101.4,97.21,18,65.72,ServiceTest1
1615115100,101.91,98.99,16,51.33,ServiceTest1
1615115160,98.19,98.91,16,68.31,ServiceTest1
1615115220,100.13,97.56,18,54.27,ServiceTest1
1615115280,101.99,98.47,17,64.0,ServiceTest1
1615115340,99.36,97.35,17,52.64,ServiceTest1
1615115400,100.37,97.16,20,64.94,ServiceTest1
1615115460,99.35,97.08,15,64.46,ServiceTest1
1615115520,101.59,97.72,18,63.02,ServiceTest1
1615115580,98.67,98.92,18,63.06,ServiceTest1
1615115640,100.56,98.82,15,65.5,ServiceTest1
1615115700,101.81,97.85,18,50.0,ServiceTest1
1615115760,101.11,97.22,18,57.16,ServiceTest1
1615115820,98.77,97.35,17,64.76,ServiceTest1
1615115880,101.88,97.51,19,69.22,ServiceTest1
1615115940,100.55,97.68,17,60.85,ServiceTest1
1615116000,98.54,97.87,15,62.14,ServiceTest1
1615116060,98.47,97.45,15,59.83,ServiceTest1
1615116120,99.24,98.7,15,63.48,ServiceTest1
1615116180,100.51,98.19,18,65.48,ServiceTest1
1615116240,101.73,98.32,20,62.15,ServiceTest1
1615116300,100.85,97.43,15,63.7,ServiceTest1
1615116360,98.07,97.26,15,61.09,ServiceTest1
1615116420,101.87,98.51,17,60.48,ServiceTest1
1615116480,100.01,98.46,17,50.55,ServiceTest1
1615116540,101.04,98.87,17,67.0,ServiceTest1
1615116600,98.9,97.34,17,55.68,ServiceTest1
1615116660,100.79,98.52,15,62.37,ServiceTest1
1615116720,101.42,97.8,17,66.04,ServiceTest1
1615116780,98.37,98.66,19,59.56,ServiceTest1
1615116840,101.71,97.13,20,61.44,ServiceTest1
1615116900,99.52,98.19,18,64.79,ServiceTest1
