timestamp,rr,sr,cnt,mrt,tc
1615019700,98.33,97.43,15,58.78,ServiceTest1
1615019760,98.91,98.92,16,58.14,ServiceTest1
1615019820,98.23,97.47,16,61.71,ServiceTest1
1615019880,100.61,98.03,15,54.87,ServiceTest1
1615019940,101.2,97.02,17,63.56,ServiceTest1
1615020000,98.14,97.27,17,58.42,ServiceTest1
1615020060,101.06,97.6,16,66.43,ServiceTest1
1615020120,101.88,97.3,17,60.45,ServiceTest1
1615020180,99.54,98.43,16,65.94,ServiceTest1
1615020240,98.12,98.45,16,55.82,ServiceTest1
1615020300,98.2,98.03,15,68.63,ServiceTest1
1615020360,99.79,98.86,20,62.37,ServiceTest1
1615020420,98.54,97.21,15,53.28,ServiceTest1
1615020480,98.52,97.39,20,52.14,ServiceTest1
1615020540,99.31,98.7,19,55.32,ServiceTest1
1615020600,98.53,98.08,17,66.41,ServiceTest1
1615020660,98.1,98.59,16,51.41,ServiceTest1
1615020720,101.52,98.33,16,57.25,ServiceTest1
1615020780,99.52,98.42,20,54.03,ServiceTest1
1615020840,101.59,98.8,20,60.22,ServiceTest1
1615020900,101.62,97.4,18,64.42,ServiceTest1
1615020960,99.64,98.24,16,53.24,ServiceTest1
1615021020,99.7,97.7,19,57.84,ServiceTest1
1615021080,100.71,97.68,20,60.99,ServiceTest1
1615021140,99.48,97.78,17,68.26,ServiceTest1
1615021200,101.7,97.87,16,64.96,ServiceTest1
1615021260,99.74,97.78,16,54.65,ServiceTest1
1615021320,101.44,98.83,18,52.85,ServiceTest1
1615021380,101.62,98.58,19,66.42,ServiceTest1
1615021440,98.35,98.55,15,55.53,ServiceTest1
1615021500,99.82,98.73,17,69.0,ServiceTest1
1615021560,99.88,98.44,19,56.86,ServiceTest1
1615021620,101.42,97.89,15,68.27,ServiceTest1
1615021680,98.65,98.77,17,69.2,ServiceTest1
1615021740,99.44,98.21,16,69.38,ServiceTest1
1615021800,98.04,97.83,20,61.79,ServiceTest1
1615021860,99.46,98.32,20,69.88,ServiceTest1
1615021920,98.23,97.85,16,65.14,ServiceTest1
1615021980,99.69,97.62,18,68.73,ServiceTest1
1615022040,98.67,98.34,17,63.22,ServiceTest1
1615022100,98.4,98.0,17,53.88,ServiceTest1
1615022160,100.89,97.7,19,57.33,ServiceTest1
1615022220,101.64,98.57,20,61.76,ServiceTest1
1615022280,100.81,98.56,18,54.98,ServiceTest1
1615022340,100.54,98.39,16,51.22,ServiceTest1
1615022400,99.68,97.63,20,53.67,ServiceTest1
1615022460,99.49,98.52,16,63.59,ServiceTest1
1615022520,99.67,97.73,20,52.32,ServiceTest1
1615022580,101.2,97.21,16,65.05,ServiceTest1
1615022640,101.51,97.72,17,62.3,ServiceTest1
1615022700,98.93,98.58,17,66.64,ServiceTest1
1615022760,98.54,97.97,18,52.7,ServiceTest1
1615022820,100.91,97.54,20,53.54,ServiceTest1
1615022880,101.68,98.81,20,69.8,ServiceTest1
1615022940,101.32,97.5,19,57.92,ServiceTest1
1615023000,101.15,97.4,19,57.07,ServiceTest1
1615023060,100.71,98.63,17,63.47,ServiceTest1
1615023120,98.15,98.54,18,60.76,ServiceTest1
1615023180,99.01,97.17,17,55.01,ServiceTest1
1615023240,101.79,98.02,17,58.74,ServiceTest1
1615023300,101.37,97.94,15,56.0,ServiceTest1
1615023360,101.75,97.05,19,57.37,ServiceTest1
1615023420,101.5,97.41,17,65.26,ServiceTest1
1615023480,99.5,97.25,17,50.32,ServiceTest1
1615023540,100.77,98.18,19,55.56,ServiceTest1
1615023600,101.57,98.98,20,55.14,ServiceTest1
1615023660,98.17,97.38,20,57.82,ServiceTest1
1615023720,99.07,98.57,17,56.25,ServiceTest1
1615023780,99.74,97.76,15,67.23,ServiceTest1
1615023840,100.78,98.1,19,53.09,ServiceTest1
1615023900,101.75,98.56,17,59.24,ServiceTest1
1615023960,99.81,97.04,17,58.24,ServiceTest1
1615024020,100.79,98.93,20,61.72,ServiceTest1
1615024080,100.66,97.55,20,66.52,ServiceTest1
1615024140,100.54,98.07,19,68.94,ServiceTest1
1615024200,99.54,97.69,19,53.5,ServiceTest1
