timestamp,rr,sr,cnt,mrt,tc
1614917880,99.25,98.13,17,58.33,ServiceTest1
1614917940,100.02,97.29,16,60.42,ServiceTest1
1614918000,101.32,97.37,16,57.99,ServiceTest1
1614918060,99.75,97.05,18,59.79,ServiceTest1
1614918120,101.8,97.27,20,69.92,ServiceTest1
1614918180,99.05,98.01,16,50.74,ServiceTest1
1614918240,101.96,98.15,17,65.29,ServiceTest1
1614918300,98.09,97.01,17,52.13,ServiceTest1
1614918360,100.58,97.89,20,64.67,ServiceTest1
1614918420,101.56,98.57,19,50.13,ServiceTest1
1614918480,101.86,97.43,20,50.3,ServiceTest1
1614918540,99.23,97.42,18,51.56,ServiceTest1
1614918600,101.66,98.89,15,54.11,ServiceTest1
1614918660,100.01,98.7,18,50.62,ServiceTest1
1614918720,99.39,98.66,16,68.88,ServiceTest1
1614918780,100.0,97.76,20,54.67,ServiceTest1
1614918840,100.81,98.69,15,53.12,ServiceTest1
1614918900,98.14,97.8,19,63.87,ServiceTest1
1614918960,99.25,98.26,15,58.39,ServiceTest1
1614919020,100.08,97.2,18,60.82,ServiceTest1
1614919080,99.06,97.45,19,68.8,ServiceTest1
1614919140,99.42,98.7,16,57.52,ServiceTest1
1614919200,98.06,97.02,20,63.12,ServiceTest1
1614919260,101.53,98.11,16,54.68,ServiceTest1
1614919320,100.44,98.37,20,56.61,ServiceTest1
1614919380,99.09,98.01,20,63.09,ServiceTest1
1614919440,100.51,98.39,18,63.62,ServiceTest1
1614919500,100.27,97.08,15,66.21,ServiceTest1
1614919560,98.07,98.44,16,64.67,ServiceTest1
1614919620,101.44,97.97,15,57.35,ServiceTest1
1614919680,101.33,98.2,16,58.57,ServiceTest1
1614919740,100.74,98.83,17,51.7,ServiceTest1
1614919800,100.09,97.95,18,53.78,ServiceTest1
1614919860,101.46,97.97,18,55.23,ServiceTest1
1614919920,101.84,97.51,18,62.81,ServiceTest1
1614919980,101.02,98.88,19,55.98,ServiceTest1
1614920040,99.79,97.19,20,66.84,ServiceTest1
1614920100,99.27,98.81,15,69.57,ServiceTest1
1614920160,99.36,97.28,15,66.64,ServiceTest1
1614920220,98.81,97.13,19,58.16,ServiceTest1
1614920280,100.06,97.24,19,66.33,ServiceTest1
1614920340,100.8,97.39,15,61.99,ServiceTest1
1614920400,101.75,97.78,17,66.79,ServiceTest1
1614920460,100.12,97.14,17,60.1,ServiceTest1
1614920520,99.15,97.61,18,52.41,ServiceTest1
1614920580,99.84,98.1,18,59.38,ServiceTest1
1614920640,99.55,97.88,19,52.18,ServiceTest1
1614920700,101.06,98.17,17,69.25,ServiceTest1
1614920760,100.3,98.16,15,68.4,ServiceTest1
1614920820,99.4,98.9,19,60.5,ServiceTest1
1614920880,100.76,98.64,20,67.76,ServiceTest1
1614920940,100.67,97.39,17,61.06,ServiceTest1
1614921000,99.42,97.34,16,51.99,ServiceTest1
1614921060,99.98,98.9,16,57.8,ServiceTest1
1614921120,98.98,97.38,16,54.74,ServiceTest1
1614921180,99.81,97.26,19,55.22,ServiceTest1
1614921240,100.65,97.22,18,57.23,ServiceTest1
1614921300,100.8,97.5,20,57.04,ServiceTest1
1614921360,100.74,97.7,15,66.69,ServiceTest1
1614921420,101.72,98.38,19,66.6,ServiceTest1
1614921480,98.81,97.62,15,64.14,ServiceTest1
1614921540,98.46,97.58,17,54.13,ServiceTest1
1614921600,98.76,98.09,15,68.39,ServiceTest1
1614921660,101.3,97.64,17,61.02,ServiceTest1
1614921720,98.16,97.88,16,64.46,ServiceTest1
1614921780,99.29,97.92,20,68.17,ServiceTest1
1614921840,100.64,97.74,18,58.33,ServiceTest1
1614921900,99.63,97.15,17,67.27,ServiceTest1
1614921960,99.2,98.41,17,67.77,ServiceTest1
1614922020,98.45,98.85,19,55.09,ServiceTest1
1614922080,98.6,98.0,20,66.01,ServiceTest1
1614922140,99.55,97.71,15,61.58,ServiceTest1
1614922200,100.54,97.73,16,65.91,ServiceTest1
1614922260,98.03,98.74,17,58.91,ServiceTest1
1614922320,99.94,98.8,16,55.15,ServiceTest1
1614922380,101.5,98.28,20,54.24,ServiceTest1
1614922440,100.9,97.66,15,53.12,ServiceTest1
1614922500,100.09,98.88,15,50.18,ServiceTest1
1614922560,98.12,98.56,16,69.65,ServiceTest1
1614922620,99.05,97.87,16,54.06,ServiceTest1
1614922680,101.53,97.42,20,57.21,ServiceTest1
1614922740,101.92,97.07,16,65.84,ServiceTest1
1614922800,99.99,98.84,17,54.3,ServiceTest1
1614922860,99.6,97.64,17,69.46,ServiceTest1
1614922920,100.2,97.63,20,50.02,ServiceTest1
